Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-11-07,S92000003,Scotland,837,74020,1354.189535309184,153.47603366264178,37,3258,59.60482985729967,3414,810170,14821.990486644712,9826,976,9.932831263993489,7.308232080271976,4004,5822,88.0,,5.0,,193,783,837,74020,3258
2020-11-08,S92000003,Scotland,873,74893,1370.1609952433223,151.719721917307,36,3294,60.26344676180022,3039,813209,14877.588730332964,9076,1001,11.029087703834287,7.200209722118194,3693,5383,81.0,,7.0,,233,768,873,74893,3294
2020-11-09,S92000003,Scotland,1295,76188,1393.8529088913283,148.44493230881815,42,3336,61.0318331503842,6105,819314,14989.279180387852,22873,1492,6.522974686311371,7.056394296230904,8647,14226,103.0,,4.0,,409,1083,1295,76188,3336
2020-11-10,S92000003,Scotland,1285,77473,1417.361873399195,146.560556165386,36,3372,61.69045005488474,5665,824979,15092.91986827662,26678,1448,5.4276932303770895,6.935732570846868,9122,17556,107.0,,5.0,,329,1119,1285,77473,3372
2020-11-11,S92000003,Scotland,1246,78719,1440.1573362605195,145.5726308086352,37,3409,62.36736187339919,5420,830399,15192.07830223198,25377,1438,5.6665484493833,6.874570805840026,8691,16686,115.0,,9.0,,339,1099,1246,78719,3409
2020-11-12,S92000003,Scotland,1194,79913,1462.0014635931211,143.8163190633004,32,3441,62.95279912184412,5042,835441,15284.321258690085,21064,1358,6.447018609950626,6.801335157647836,7519,13545,112.0,,8.0,,304,1054,1194,79913,3441
2020-11-13,S92000003,Scotland,1053,80966,1481.266008049762,142.38931577021586,38,3479,63.64800585437248,5092,840533,15377.478960848885,17599,1254,7.12540485254844,6.767904719494615,6972,10627,109.0,,6.0,,273,981,1053,80966,3479
2020-11-14,S92000003,Scotland,903,81869,1497.7863154043175,143.59678009513354,41,3520,64.39809732894255,4102,844635,15452.52469813392,11557,1079,9.336332958380202,6.757360829657885,4383,7174,100.0,,11.0,,253,826,903,81869,3520
2020-11-15,S92000003,Scotland,812,82681,1512.6417855836078,142.4807903402854,34,3554,65.0201244054153,3537,848172,15517.233809001096,9943,963,9.685205672332293,6.6858636030527565,3881,6062,95.0,,8.0,,219,744,812,82681,3554
2020-11-16,S92000003,Scotland,1273,83954,1535.9312111233075,142.0783022319795,33,3587,65.62385656787413,6414,854586,15634.57738748628,23803,1473,6.18829559299248,6.626182721785606,9097,14706,95.0,,6.0,,379,1094,1273,83954,3587
